year,ldv,transportation,electic gen,petroleum,industry,total,transportation_pct,industry_pct
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,37.5,0,0,0,0,37.5,0,0
2024,75,0,0,0,0,75,0,0
2025,87.5,10,5,7.5,12.5,122.5,0.08163265306,0.1020408163
2026,100,20,10,15,25,170,0.1176470588,0.1470588235
2027,115,35,22.5,57.5,80,310,0.1129032258,0.2580645161
2028,130,50,35,100,135,450,0.1111111111,0.3
2029,135,62.5,42.5,110,152.5,502.5,0.1243781095,0.3034825871
2030,140,75,50,120,170,555,0.1351351351,0.3063063063
2031,207.5,87.5,62.5,130,192.5,680,0.1286764706,0.2830882353
2032,275,100,75,140,215,805,0.1242236025,0.2670807453
2033,412.5,145,92.5,175,267.5,1092.5,0.1327231121,0.2448512586
2034,550,190,110,210,320,1380,0.1376811594,0.231884058
2035,625,220,130,217.5,347.5,1540,0.1428571429,0.2256493506
2036,700,250,150,225,375,1700,0.1470588235,0.2205882353
2037,900,350,175,237.5,412.5,2075,0.1686746988,0.1987951807
2038,1100,450,200,250,450,2450,0.1836734694,0.1836734694
2039,1175,520,220,255,475,2645,0.1965973535,0.179584121
2040,1250,590,240,260,500,2840,0.2077464789,0.176056338
2041,1325,620,270,260,530,3005,0.2063227953,0.1763727121
2042,1400,650,300,260,560,3170,0.2050473186,0.1766561514
2043,1537.5,800,325,250,575,3487.5,0.229390681,0.164874552
2044,1675,950,350,240,590,3805,0.2496714849,0.1550591327
2045,1712.5,875,357.5,240,597.5,3782.5,0.2313284865,0.1579643093
2046,1750,800,365,240,605,3760,0.2127659574,0.1609042553
2047,1775,939,372.5,220,592.5,3899,0.2408309823,0.1519620415
2048,1800,1078,380,200,580,4038,0.2669638435,0.1436354631
2049,1825,1094,380,190,570,4059,0.2695245134,0.140428677
2050,1850,1110,380,180,560,4080,0.2720588235,0.137254902
